
S1,1,0,0,3,39,5,0,11,25,
S1,2,25,0,20,9,0,3,59,37,
S1,3,0,1,13,12,0,8,36,28,
S1,4,2,0,20,11,1,3,0,28,
S1,5,20,0,28,6,0,17,0,49,
S1,6,2,1,6,12,1,33,0,10,
S1,7,1,0,9,56,0,15,0,8,
S1,8,6,1,7,12,0,26,0,5,
S1,9,4,0,13,9,2,47,9,0,
S1,10,1,0,2,7,0,2,0,8,
S2,1,46,2,70,20,155,5,0,2,
S2,2,41,24,36,15,13,8,5,24,
S2,3,2,7,9,40,27,7,3,24,
S2,4,35,0,11,7,18,3,6,37,
S2,5,11,5,13,6,25,14,0,5,
S2,6,28,0,15,10,0,12,8,6,
S2,7,16,0,13,6,1,20,3,7,
S2,8,3,5,4,5,2,4,4,25,
S2,9,7,6,7,9,4,2,0,10,
S2,10,8,5,8,12,45,0,0,6,
S3,1,47,2,46,0,59,3,1,1,
S3,2,25,1,3,0,6,3,0,1,
S3,3,0,30,0,31,4,4,2,19,
S3,4,10,15,3,3,8,1,1,0,
S3,5,1,3,0,9,3,0,0,0,
S3,6,7,0,0,0,0,0,0,0,
S3,7,11,3,1,0,1,0,0,0,
S3,8,0,1,0,18,2,0,0,0,
S3,9,0,2,0,0,0,0,0,0,
S3,10,5,1,0,0,1,0,0,0,
S4,1,31,0,6,62,3,28,1,4,
S4,2,4,0,0,1,8,10,0,0,
S4,3,17,1,0,7,0,1,0,2,
S4,4,0,0,0,1,10,0,0,0,
S4,5,5,1,0,0,1,1,0,0,
S4,6,1,0,0,0,0,0,0,0,
S4,7,0,0,0,0,0,1,0,3,
S4,8,0,0,0,0,2,0,0,0,
S4,9,0,2,0,0,1,1,0,0,
S4,10,0,0,0,0,2,0,0,0,
S5,1,32,38,49,23,2,30,3,28,
S5,2,30,3,53,18,105,25,0,33,
S5,3,58,9,15,7,31,0,0,18,
S5,4,2,2,42,0,0,3,2,37,
S5,5,11,1,11,10,19,1,9,19,
S5,6,1,1,1,23,3,2,0,3,
S5,7,1,2,1,2,0,2,0,0,
S5,8,3,1,0,4,0,0,4,2,
S5,9,1,1,1,1,0,4,0,0,
S5,10,1,1,0,4,0,2,2,0,
S6,1,85,85,49,40,2,87,81,253,
S6,2,51,40,69,126,9,58,52,190,
S6,3,28,3,14,35,117,13,23,43,
S6,4,2,21,22,32,60,16,17,41,
S6,5,2,10,25,27,37,12,19,42,
S6,6,5,33,25,29,71,29,17,45,
S6,7,5,10,62,20,72,12,45,81,
S6,8,3,22,23,25,41,13,25,37,
S7,1,55,28,95,49,103,19,10,40,
S7,2,45,5,20,13,71,21,9,64,
S7,3,49,18,33,26,14,14,8,36,
S7,4,34,6,19,23,35,15,7,17,
S7,5,15,9,34,37,13,42,5,44,
S7,6,1,11,21,23,36,29,21,44,
S7,7,34,5,23,29,36,24,17,54,
S7,8,22,15,22,11,48,7,14,18,
S7,9,37,20,8,17,49,10,17,25,
S7,10,25,19,26,10,44,9,4,24,
S8,1,51,1,4,6,49,28,26,4,
S8,2,32,3,18,12,4,70,36,24,
S8,3,7,2,31,5,2,6,1,27,
S8,4,9,2,14,12,5,2,3,2,
S8,5,6,1,22,15,5,9,2,2,
S8,6,2,1,28,17,0,2,0,2,
S8,7,1,1,34,8,5,5,6,4,
S8,8,5,0,1,6,2,1,0,0,
S8,9,0,5,8,8,6,0,3,0,
S8,10,0,0,4,11,0,5,3,28,
S9,1,83,3,54,2,27,3,3,22,
S9,2,23,3,2,4,14,0,4,1,
S9,3,10,3,21,4,1,1,0,7,
S9,4,14,3,16,0,10,2,2,7,
S9,5,12,2,1,0,28,1,0,2,
S9,6,8,2,26,2,20,17,15,1,
S9,7,19,1,9,6,4,1,0,1,
S9,8,41,2,2,0,31,2,2,6,
S9,9,18,2,16,4,12,4,0,0,
S9,10,10,1,0,3,5,0,1,0,
S10,1,15,6,64,18,40,9,14,17,
S10,2,4,4,11,10,39,6,12,10,
S10,3,5,14,2,7,12,3,16,15,
S10,4,3,4,15,2,14,12,11,5,
S10,5,3,3,11,12,2,7,14,15,
S10,6,4,3,12,23,3,4,2,0,
S10,7,2,14,8,17,2,15,0,2,
S10,8,4,15,8,22,3,12,3,8,
S10,9,2,13,13,5,2,6,9,0,
S10,10,3,10,5,4,12,10,13,7,
S11,1,109,3,26,7,39,2,6,38,
S11,2,2,7,13,4,4,0,5,19,
S11,3,2,7,13,4,4,0,5,19,
