ID,Make,Model,Year,Trim,Description,Class,URL,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Gross weight (lbs),Cylinders,Horsepower (HP),Valves,Valve timing,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA mileage (mpg),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Cargo capacity (cu ft)
354,Lexus,RX,2006,RX 330 - 4dr SUV,(3.3L V6 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-330/2006/oem/2006_lexus_rx-330_4dr-suv_base_fq_oem_2_400.jpg,SUV,186.2,72.6,66.1,106.9,3860,5245,V6,223,24, Variable, Front wheel drive , 5-speed automatic, Gas, Regular unleaded,19.2, 17/23 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
355,Lexus,RX,2006,RX 330 - 4dr SUV,(3.3L V6 AWD 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-330/2006/oem/2006_lexus_rx-330_4dr-suv_base_fq_oem_2_400.jpg,SUV,186.2,72.6,66.1,106.9,4065,5245,V6,223,24, Variable, All wheel drive , 5-speed automatic, Gas, Regular unleaded,19.2, 16/22 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
356,Lexus,RX,2006,RX 400h - 4dr SUV,(3.3L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-400h/2006/oem/2006_lexus_rx-400h_4dr-suv_hybrid_fq_oem_2_400.jpg,SUV,187.2,72.6,68.3,106.9,4901,,V6,268,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,17.2, 28/25 mpg,,55.6,42.5,57.9,,55.1,36.4,57.1,38.3
357,Lexus,RX,2006,RX 400h - 4dr SUV,(3.3L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-400h/2006/oem/2006_lexus_rx-400h_4dr-suv_hybrid_fq_oem_2_400.jpg,SUV,187.2,72.6,66.4,106.9,4365,5520,V6,268,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,17.2, 27/25 mpg,,55.6,42.5,57.9,,55.1,36.4,57.1,38.3
358,Lexus,RX,2007,RX 350 - 4dr SUV,(3.5L V6 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-330/2006/oem/2006_lexus_rx-330_4dr-suv_base_fq_oem_5_400.jpg,SUV,186.2,72.6,66.1,106.9,3870,5269,V6,270,24, Variable, Front wheel drive , 5-speed automatic, Gas, Premium unleaded (required),19.2, 18/23 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
359,Lexus,RX,2007,RX 350 - 4dr SUV,(3.5L V6 AWD 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-330/2006/oem/2006_lexus_rx-330_4dr-suv_base_fq_oem_5_400.jpg,SUV,186.2,72.6,66.1,106.9,4090,5269,V6,270,24, Variable, All wheel drive , 5-speed automatic, Gas, Premium unleaded (required),19.2, 17/22 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
360,Lexus,RX,2007,RX 400h - 4dr SUV,(3.3L V6 Hybrid CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-400h/2007/oem/2007_lexus_rx-400h_4dr-suv_base_fq_oem_4_400.jpg,SUV,187.2,72.6,66.1,106.9,4190,5520,V6,268,24, Variable, Front wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,17.2, 28/25 mpg,,55.6,42.5,57.9,,55.1,36.4,57.1,38.3
361,Lexus,RX,2007,RX 400h - 4dr SUV,(3.3L V6 Hybrid AWD CVT Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-400h/2007/oem/2007_lexus_rx-400h_4dr-suv_base_fq_oem_4_400.jpg,SUV,187.2,72.6,66.4,106.9,4365,5520,V6,268,24, Variable, All wheel drive , Continuously variable-speed automatic, Hybrid, Regular unleaded,17.2, 27/25 mpg,,55.6,42.5,57.9,,55.1,36.4,57.1,38.3
362,Lexus,RX,2008,RX 350 - 4dr SUV,(3.5L V6 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2008/oem/2008_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,186.2,72.6,66.1,106.9,3870,5269,V6,270,24, Variable, Front wheel drive , 5-speed automatic, Gas, Premium unleaded (required),19.2, 18/23 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
363,Lexus,RX,2008,RX 350 - 4dr SUV,(3.5L V6 AWD 5-speed Automatic)                     ,Mid-size crossover SUV,https://media.ed.edmunds-media.com/lexus/rx-350/2008/oem/2008_lexus_rx-350_4dr-suv_base_fq_oem_1_400.jpg,SUV,186.2,72.6,66.1,106.9,4090,5269,V6,270,24, Variable, All wheel drive , 5-speed automatic, Gas, Premium unleaded (required),19.2, 17/22 mpg,39.3,55.6,42.5,57.9,38.6,55.1,36.4,57.1,38.3
